Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ROSEBUD,Rosebud,"$355,000 ","$360,000 ","$350,000 ","$367,000 ","$365,000 ","$389,000 ","$445,000 ","$536,000 ","$590,000 ","$550,000 ","$590,000 "
ROSEBUD SOUTH,Rosebud South,"$419,500 ","$460,000 ","$450,000 ","$425,000 ","$500,000 ","$514,500 ","$545,000 ","$647,500 ","$711,500 ","$697,000 ","$782,500 "
ROSEDALE,Rosedale,"$185,000 ","$189,000 ","$208,500 ","$215,000 ","$215,000 ","$197,000 ","$230,000 ","$255,000 ","$280,000 ","$247,000 ","$252,000 "
ROWVILLE,Rowville,"$540,000 ","$527,500 ","$530,000 ","$570,000 ","$617,500 ","$710,000 ","$778,000 ","$867,000 ","$840,000 ","$820,000 ","$840,000 "
ROXBURGH PARK,Roxburgh Park,"$371,000 ","$360,000 ","$355,000 ","$365,000 ","$385,000 ","$400,000 ","$435,000 ","$515,000 ","$546,000 ","$543,000 ","$574,000 "
RUPANYUP,Rupanyup,"$129,000 ","$100,000 ","$127,000 ","$75,000 ","$105,000 ","$53,500 ","$75,000 ","$63,500 ","$87,000 ","$100,500 ","$90,000 "
RUSHWORTH,Rushworth,"$156,500 ","$155,000 ","$190,000 ","$161,000 ","$158,000 ","$177,000 ","$200,000 ","$192,500 ","$198,000 ","$205,000 ","$226,000 "
RUTHERGLEN,Rutherglen,"$175,000 ","$207,000 ","$235,000 ","$232,000 ","$195,000 ","$230,000 ","$255,000 ","$262,000 ","$270,000 ","$282,500 ","$350,000 "
RYE,Rye,"$436,000 ","$440,000 ","$422,000 ","$425,000 ","$460,000 ","$488,000 ","$550,000 ","$658,000 ","$705,000 ","$690,000 ","$792,000 "
SAFETY BEACH,Safety Beach,"$497,500 ","$553,000 ","$551,000 ","$515,000 ","$516,500 ","$595,000 ","$665,000 ","$780,000 ","$825,000 ","$793,500 ","$885,000 "
SAILORS GULLY,Sailors Gully,"$213,500 ","$265,000 ","$257,500 ","$253,000 ","$262,500 ","$235,000 ","$225,000 ","$232,000 ","$290,000 ","$280,000 ","$275,000 "
SALE,Sale,"$276,500 ","$291,500 ","$274,500 ","$290,000 ","$300,000 ","$298,000 ","$295,500 ","$300,000 ","$309,500 ","$325,000 ","$345,000 "
SAN REMO,San Remo,"$445,000 ","$411,000 ","$402,500 ","$410,000 ","$407,000 ","$420,000 ","$460,000 ","$497,000 ","$515,000 ","$554,500 ","$597,500 "
SANCTUARY LAKES,Sanctuary Lakes,"$465,000 ","$475,000 ","$512,500 ","$480,000 ","$485,000 ","$570,000 ","$503,000 ","$629,000 ","$627,500 ","$625,000 ","$651,000 "
SANDHURST,Sandhurst,"$460,000 ","$504,500 ","$510,000 ","$545,000 ","$549,000 ","$617,500 ","$678,500 ","$730,000 ","$837,500 ","$812,500 ","$780,000 "
SANDRINGHAM,Sandringham,"$1,200,000 ","$1,202,500 ","$1,175,000 ","$1,210,000 ","$1,305,000 ","$1,490,000 ","$1,760,000 ","$1,870,000 ","$1,850,000 ","$1,650,000 ","$1,831,500 "
SANDY POINT,Sandy Point,"$338,000 ","$375,000 ","$355,000 ","$352,500 ","$380,000 ","$370,000 ","$359,000 ","$407,500 ","$410,000 ","$410,000 ","$515,000 "
SASSAFRAS,Sassafras,"$507,000 ","$497,500 ","$397,500 ","$632,500 ","$556,000 ","$562,000 ","$653,500 ","$775,500 ","$750,000 ","$805,000 ","$770,000 "
SAWMILL SETTLEMENT,Sawmill Settlement,"$221,500 ","$199,000 ","$207,000 ","$259,000 ","$205,500 ","$233,000 ","$350,000 ","$270,000 ","$285,000 ","$441,000 ","$400,000 "
SCORESBY,Scoresby,"$488,000 ","$472,000 ","$480,000 ","$509,000 ","$570,000 ","$661,000 ","$700,000 ","$878,500 ","$835,000 ","$767,000 ","$785,000 "
SEA LAKE,Sea Lake,"$62,500 ","$112,000 ","$65,000 ","$80,000 ","$75,000 ","$95,000 ","$75,000 ","$70,000 ","$110,000 ","$100,000 ","$106,500 "
SEABROOK,Seabrook,"$415,000 ","$407,500 ","$403,500 ","$422,500 ","$402,500 ","$456,000 ","$509,000 ","$635,000 ","$672,500 ","$626,500 ","$652,500 "
SEAFORD,Seaford,"$412,500 ","$415,000 ","$392,500 ","$419,000 ","$450,000 ","$475,000 ","$580,500 ","$700,000 ","$695,000 ","$655,000 ","$694,000 "
SEAHOLME,Seaholme,"$565,000 ","$630,000 ","$600,000 ","$641,000 ","$670,000 ","$802,500 ","$872,500 ","$1,157,500 ","$1,015,000 ","$1,020,000 ","$935,000 "
SEASPRAY,Seaspray,"$239,000 ","$165,000 ","$192,500 ","$152,000 ","$164,000 ","$240,000 ","$175,000 ","$215,000 ","$210,000 ","$265,000 ","$260,000 "
SEBASTOPOL,Sebastopol,"$226,000 ","$228,000 ","$239,000 ","$242,000 ","$235,500 ","$244,500 ","$247,500 ","$256,000 ","$289,500 ","$315,000 ","$341,000 "
SEDDON,Seddon,"$645,500 ","$620,500 ","$670,000 ","$675,000 ","$730,000 ","$830,000 ","$934,500 ","$982,500 ","$1,018,500 ","$960,000 ","$1,100,000 "
SELBY,Selby,"$407,000 ","$421,500 ","$410,000 ","$420,000 ","$420,000 ","$469,500 ","$527,500 ","$600,000 ","$637,500 ","$601,500 ","$720,000 "
SEVILLE,Seville,"$387,500 ","$380,000 ","$380,000 ","$400,000 ","$397,500 ","$450,000 ","$511,500 ","$611,500 ","$634,500 ","$620,000 ","$626,000 "
SEVILLE EAST,Seville East,"$342,500 ","$364,500 ","$342,500 ","$339,500 ","$350,000 ","$395,000 ","$440,000 ","$482,500 ","$551,500 ","$580,000 ","$600,000 "
SEYMOUR,Seymour,"$215,000 ","$190,000 ","$220,000 ","$220,000 ","$213,000 ","$225,000 ","$242,500 ","$277,000 ","$295,000 ","$300,000 ","$324,000 "
SHEPPARTON,Shepparton,"$251,000 ","$242,500 ","$240,000 ","$247,000 ","$243,000 ","$250,000 ","$265,000 ","$261,000 ","$275,000 ","$282,000 ","$310,000 "
SHEPPARTON NORTH,Shepparton North,"$360,000 ","$330,500 ","$284,000 ","$346,000 ","$375,000 ","$348,000 ","$361,000 ","$347,000 ","$334,000 ","$393,000 ","$379,000 "
SHOREHAM,Shoreham,"$581,000 ","$585,000 ","$618,000 ","$607,000 ","$620,000 ","$903,000 ","$868,500 ","$970,000 ","$1,160,000 ","$1,400,000 ","$1,077,000 "
SILVERLEAVES,Silverleaves,"$497,500 ","$500,000 ","$505,000 ","$508,000 ","$460,500 ","$484,000 ","$446,500 ","$515,000 ","$721,000 ","$618,500 ","$770,000 "
SKENES CREEK,Skenes Creek,"$500,000 ","$370,000 ","$532,500 ","$465,000 ","$435,000 ","$491,500 ","$520,000 ","$517,000 ","$580,000 ","$667,500 ","$807,500 "
SKIPTON,Skipton,"$152,000 ","$160,000 ","$149,000 ","$155,000 ","$117,500 ","$137,000 ","$169,000 ","$187,500 ","$159,500 ","$200,000 ","$219,500 "
SKYE,Skye,"$375,000 ","$385,000 ","$390,000 ","$395,000 ","$413,000 ","$430,000 ","$479,000 ","$570,000 ","$611,000 ","$597,500 ","$610,000 "
SMITHS BEACH,Smiths Beach,"$442,500 ","$380,000 ","$430,000 ","$372,500 ","$390,000 ","$455,000 ","$470,000 ","$458,500 ","$589,000 ","$624,500 ","$695,000 "
SMYTHESDALE,Smythesdale,"$210,000 ","$259,000 ","$207,500 ","$260,000 ","$207,500 ","$225,000 ","$250,000 ","$315,000 ","$290,000 ","$342,500 ","$475,000 "
SOLDIERS HILL,Soldiers Hill,"$265,000 ","$278,000 ","$292,500 ","$283,000 ","$341,000 ","$310,000 ","$374,000 ","$423,500 ","$447,500 ","$480,000 ","$560,000 "
SOMERS,Somers,"$615,000 ","$615,000 ","$692,500 ","$657,500 ","$755,000 ","$696,500 ","$755,500 ","$820,000 ","$888,500 ","$950,000 ","$960,000 "
SOMERVILLE,Somerville,"$370,000 ","$375,000 ","$360,000 ","$385,000 ","$395,000 ","$425,000 ","$465,000 ","$580,000 ","$615,000 ","$600,000 ","$637,500 "
SORRENTO,Sorrento,"$850,000 ","$905,000 ","$730,000 ","$770,000 ","$795,000 ","$859,000 ","$1,130,000 ","$1,300,000 ","$1,380,000 ","$1,470,000 ","$1,650,000 "
SOUTH DUDLEY,South Dudley,"$235,500 ","$230,000 ","$216,500 ","$192,000 ","$200,500 ","$221,500 ","$256,000 ","$233,500 ","$270,000 ","$339,000 ","$330,000 "
SOUTH GEELONG,South Geelong,"$420,000 ","$382,500 ","$430,000 ","$420,500 ","$470,000 ","$425,000 ","$495,000 ","$650,000 ","$676,000 ","$702,500 ","$835,000 "
SOUTH KINGSVILLE,South Kingsville,"$650,000 ","$620,000 ","$610,000 ","$619,500 ","$671,000 ","$742,000 ","$903,000 ","$980,000 ","$1,000,000 ","$859,000 ","$991,000 "
SOUTH MELBOURNE,South Melbourne,"$960,000 ","$925,000 ","$930,000 ","$1,030,000 ","$1,200,000 ","$1,310,000 ","$1,595,000 ","$1,532,500 ","$1,465,000 ","$1,355,000 ","$1,580,000 "
SOUTH MORANG,South Morang,"$411,000 ","$410,000 ","$420,000 ","$415,000 ","$420,000 ","$450,000 ","$502,000 ","$610,500 ","$634,000 ","$625,500 ","$640,000 "
SOUTH YARRA,South Yarra,"$1,375,000 ","$1,125,000 ","$1,238,000 ","$1,352,500 ","$1,450,000 ","$1,700,000 ","$1,890,000 ","$2,035,000 ","$1,851,000 ","$1,850,000 ","$1,977,500 "
SPOTSWOOD,Spotswood,"$635,000 ","$602,500 ","$655,000 ","$680,000 ","$640,000 ","$795,000 ","$917,500 ","$1,027,500 ","$1,080,000 ","$950,000 ","$1,000,000 "
SPRING GULLY,Spring Gully,"$294,000 ","$320,000 ","$340,000 ","$345,000 ","$350,000 ","$350,000 ","$350,000 ","$390,000 ","$400,000 ","$386,500 ","$440,000 "
SPRINGVALE,Springvale,"$490,000 ","$470,000 ","$448,000 ","$451,500 ","$530,000 ","$629,500 ","$685,000 ","$750,000 ","$786,000 ","$743,000 ","$778,000 "
SPRINGVALE SOUTH,Springvale South,"$450,500 ","$420,000 ","$408,000 ","$430,000 ","$475,000 ","$562,000 ","$630,000 ","$720,000 ","$720,000 ","$679,000 ","$725,000 "
ST ALBANS,St Albans,"$385,000 ","$387,000 ","$348,000 ","$350,000 ","$373,500 ","$428,000 ","$500,000 ","$610,000 ","$626,500 ","$591,000 ","$600,000 "
ST ALBANS PARK,St Albans Park,"$298,000 ","$310,000 ","$307,500 ","$335,000 ","$330,000 ","$329,000 ","$331,000 ","$379,000 ","$450,000 ","$422,000 ","$455,000 "
ST ANDREWS BEACH,St Andrews Beach,"$495,000 ","$550,000 ","$714,000 ","$480,000 ","$495,000 ","$560,000 ","$695,000 ","$855,000 ","$902,500 ","$930,000 ","$1,207,500 "
ST ARNAUD,St Arnaud,"$131,000 ","$125,000 ","$123,000 ","$140,000 ","$145,000 ","$141,000 ","$142,500 ","$145,000 ","$145,000 ","$175,000 ","$170,000 "
ST HELENA,St Helena,"$562,000 ","$570,000 ","$550,500 ","$612,500 ","$623,000 ","$711,000 ","$800,000 ","$893,500 ","$910,000 ","$905,000 ","$930,000 "
ST KILDA,St Kilda,"$930,000 ","$860,000 ","$861,000 ","$892,000 ","$1,225,000 ","$1,164,000 ","$1,305,000 ","$1,551,000 ","$1,755,000 ","$1,600,000 ","$1,296,500 "
ST KILDA EAST,St Kilda East,"$1,041,000 ","$962,500 ","$993,000 ","$1,050,500 ","$1,037,500 ","$1,382,500 ","$1,677,500 ","$1,460,000 ","$1,620,000 ","$1,560,500 ","$1,640,000 "
ST KILDA WEST,St Kilda West,"$1,925,000 ","$1,700,000 ","$1,262,500 ","$1,142,500 ","$2,235,000 ","$2,013,000 ","$1,797,000 ","$2,380,000 ","$1,942,500 ","$2,465,000 ","$2,630,000 "
ST LEONARDS,St Leonards,"$350,000 ","$389,000 ","$363,000 ","$350,000 ","$357,000 ","$375,000 ","$421,500 ","$469,000 ","$571,500 ","$562,500 ","$570,000 "
STANHOPE,Stanhope,"$160,000 ","$152,000 ","$175,000 ","$150,000 ","$131,000 ","$152,500 ","$147,000 ","$181,000 ","$161,500 ","$187,500 ","$196,000 "
STAWELL,Stawell,"$155,000 ","$147,000 ","$167,000 ","$162,500 ","$172,500 ","$177,000 ","$177,000 ","$188,000 ","$190,000 ","$189,000 ","$225,500 "
STRATFORD,Stratford,"$207,500 ","$242,500 ","$267,500 ","$230,000 ","$261,500 ","$260,500 ","$272,500 ","$265,000 ","$258,000 ","$316,500 ","$320,000 "
STRATHDALE,Strathdale,"$331,000 ","$369,500 ","$361,000 ","$392,500 ","$380,000 ","$410,500 ","$445,000 ","$380,000 ","$420,000 ","$451,000 ","$508,500 "
STRATHFIELDSAYE,Strathfieldsaye,"$357,000 ","$370,000 ","$359,000 ","$377,000 ","$397,500 ","$408,000 ","$425,000 ","$455,000 ","$444,000 ","$476,500 ","$535,000 "
STRATHMERTON,Strathmerton,"$165,000 ","$107,500 ","$164,500 ","$166,000 ","$172,500 ","$190,000 ","$182,500 ","$140,000 ","$187,500 ","$195,000 ","$198,000 "
STRATHMORE,Strathmore,"$870,000 ","$820,000 ","$800,000 ","$827,500 ","$865,000 ","$997,500 ","$1,140,000 ","$1,230,000 ","$1,357,500 ","$1,322,500 ","$1,346,500 "
STRATHMORE HEIGHTS,Strathmore Heights,"$598,500 ","$700,000 ","$605,000 ","$621,000 ","$640,000 ","$700,000 ","$808,000 ","$970,000 ","$885,000 ","$800,000 ","$835,000 "
STUDFIELD,Studfield,"$525,000 ","$470,000 ","$480,500 ","$532,500 ","$617,500 ","$785,000 ","$853,000 ","$957,500 ","$906,000 ","$811,000 ","$836,000 "
SUNBURY,Sunbury,"$343,000 ","$360,000 ","$350,000 ","$355,000 ","$360,000 ","$370,000 ","$395,000 ","$492,000 ","$545,000 ","$533,500 ","$570,000 "
SUNDERLAND BAY,Sunderland Bay,"$315,000 ","$280,000 ","$265,000 ","$324,500 ","$333,000 ","$287,000 ","$360,000 ","$357,500 ","$455,000 ","$413,500 ","$525,000 "
SUNNYCLIFFS,Sunnycliffs,"$120,000 ","$70,000 ","$200,000 ","$195,000 ","$294,000 ","$185,000 ","$220,000 ","$228,000 ","$218,000 ","$229,500 ","$230,000 "
SUNSET STRIP,Sunset Strip,"$286,000 ","$286,500 ","$286,500 ","$301,500 ","$310,000 ","$301,500 ","$340,000 ","$345,000 ","$390,000 ","$460,000 ","$511,000 "
SUNSHINE,Sunshine,"$458,000 ","$430,000 ","$400,000 ","$435,000 ","$483,500 ","$530,500 ","$675,000 ","$765,000 ","$735,000 ","$720,000 ","$755,500 "
SUNSHINE NORTH,Sunshine North,"$425,000 ","$420,000 ","$395,000 ","$400,000 ","$425,500 ","$495,000 ","$560,000 ","$651,000 ","$663,000 ","$638,000 ","$655,000 "
SUNSHINE WEST,Sunshine West,"$400,000 ","$391,500 ","$375,000 ","$384,500 ","$395,000 ","$450,000 ","$520,000 ","$639,500 ","$635,000 ","$635,000 ","$655,500 "
SURF BEACH,Surf Beach,"$332,000 ","$350,000 ","$350,000 ","$375,000 ","$360,000 ","$355,000 ","$414,000 ","$425,000 ","$480,000 ","$525,000 ","$549,000 "
SURREY HILLS,Surrey Hills,"$1,204,000 ","$1,212,000 ","$1,121,500 ","$1,323,000 ","$1,450,000 ","$1,750,000 ","$1,800,500 ","$2,170,000 ","$1,900,000 ","$1,890,000 ","$1,844,500 "
SWAN HILL,Swan Hill,"$230,000 ","$225,000 ","$225,000 ","$225,000 ","$230,000 ","$248,000 ","$262,500 ","$252,000 ","$267,000 ","$285,000 ","$319,500 "
SWAN REACH,Swan Reach,"$170,000 ","$253,000 ","$334,000 ","$230,000 ","$276,000 ","$331,000 ","$455,000 ","$350,000 ","$370,000 ","$450,000 ","$417,500 "
SYDENHAM,Sydenham,"$399,000 ","$420,500 ","$415,000 ","$425,000 ","$415,000 ","$440,000 ","$505,000 ","$590,000 ","$620,000 ","$599,500 ","$637,500 "
SYNDAL,Syndal,"$880,500 ","$850,000 ","$778,000 ","$950,500 ","$1,160,000 ","$1,505,000 ","$1,410,000 ","$1,585,000 ","$1,530,000 ","$1,524,500 ","$1,570,000 "
TALLANGATTA,Tallangatta,"$186,000 ","$175,000 ","$185,000 ","$154,000 ","$200,000 ","$233,000 ","$216,000 ","$275,000 ","$245,000 ","$257,500 ","$280,000 "
TARNEIT,Tarneit,"$360,000 ","$369,000 ","$356,000 ","$370,000 ","$395,000 ","$400,000 ","$445,000 ","$515,000 ","$569,500 ","$555,000 ","$570,000 "
TATURA,Tatura,"$220,000 ","$215,000 ","$229,500 ","$230,000 ","$237,500 ","$233,000 ","$228,000 ","$262,000 ","$250,000 ","$276,500 ","$301,500 "
TAWONGA SOUTH,Tawonga South,"$216,000 ","$230,000 ","$255,000 ","$219,500 ","$235,000 ","$257,500 ","$298,000 ","$254,000 ","$310,000 ","$422,500 ","$380,000 "
TAYLORS HILL,Taylors Hill,"$425,000 ","$420,000 ","$480,000 ","$487,500 ","$510,000 ","$530,000 ","$600,000 ","$686,000 ","$723,000 ","$702,000 ","$754,000 "
TAYLORS LAKES,Taylors Lakes,"$467,500 ","$500,000 ","$477,500 ","$490,000 ","$510,000 ","$561,500 ","$635,000 ","$720,000 ","$763,500 ","$750,000 ","$777,500 "
TECOMA,Tecoma,"$400,000 ","$427,500 ","$412,000 ","$415,000 ","$478,000 ","$510,000 ","$601,500 ","$709,000 ","$700,000 ","$662,500 ","$742,500 "
TEMPLESTOWE,Templestowe,"$805,000 ","$804,000 ","$811,000 ","$865,000 ","$951,500 ","$1,180,000 ","$1,260,000 ","$1,415,000 ","$1,308,000 ","$1,281,500 ","$1,371,500 "
TEMPLESTOWE LOWER,Templestowe Lower,"$730,000 ","$711,500 ","$670,000 ","$750,000 ","$830,000 ","$1,060,000 ","$1,105,500 ","$1,302,000 ","$1,150,000 ","$1,080,000 ","$1,191,000 "
TERANG,Terang,"$179,000 ","$160,000 ","$155,000 ","$161,500 ","$195,000 ","$206,500 ","$150,000 ","$188,500 ","$194,000 ","$188,500 ","$230,000 "
THE BASIN,The Basin,"$430,000 ","$400,000 ","$410,000 ","$430,000 ","$463,500 ","$550,000 ","$595,000 ","$610,000 ","$682,500 ","$695,000 ","$739,000 "
THE HONEYSUCKLES,The Honeysuckles,"$177,500 ","$236,000 ","$215,000 ","$214,000 ","$190,000 ","$160,000 ","$237,000 ","$265,000 ","$290,000 ","$336,000 ","$315,000 "
THE PATCH,The Patch,"$444,500 ","$470,000 ","$417,500 ","$393,500 ","$486,500 ","$505,000 ","$570,500 ","$665,000 ","$730,000 ","$755,000 ","$760,000 "
THOMASTOWN,Thomastown,"$418,000 ","$400,000 ","$365,000 ","$390,000 ","$420,000 ","$436,000 ","$493,000 ","$653,000 ","$637,000 ","$593,500 ","$622,000 "
THOMSON (GREATER GEELONG),Thomson (Greater Geelong),"$270,000 ","$281,500 ","$273,500 ","$282,000 ","$290,000 ","$290,000 ","$308,500 ","$365,000 ","$411,000 ","$400,500 ","$435,000 "
THORNBURY,Thornbury,"$720,000 ","$690,000 ","$715,500 ","$729,000 ","$840,000 ","$918,000 ","$1,079,500 ","$1,225,000 ","$1,137,500 ","$1,150,000 ","$1,250,000 "
TIMBOON,Timboon,"$187,000 ","$211,500 ","$212,500 ","$184,000 ","$210,000 ","$240,000 ","$215,000 ","$220,000 ","$247,000 ","$260,000 ","$412,500 "
TONGALA,Tongala,"$158,500 ","$154,000 ","$175,000 ","$185,000 ","$179,000 ","$165,000 ","$204,000 ","$200,000 ","$275,000 ","$234,500 ","$235,000 "
TOONGABBIE,Toongabbie,"$260,000 ","$230,000 ","$212,500 ","$234,000 ","$261,500 ","$235,000 ","$315,000 ","$286,500 ","$280,500 ","$270,000 ","$309,500 "
TOORA,Toora,"$175,000 ","$220,000 ","$210,000 ","$171,500 ","$155,000 ","$230,000 ","$195,000 ","$190,000 ","$241,500 ","$275,000 ","$300,000 "
TOORADIN,Tooradin,"$420,000 ","$365,000 ","$380,000 ","$420,000 ","$480,000 ","$471,000 ","$411,000 ","$599,000 ","$702,000 ","$700,000 ","$755,000 "
TOORAK,Toorak,"$2,590,000 ","$2,617,500 ","$2,775,000 ","$2,875,000 ","$3,391,000 ","$3,987,500 ","$4,900,000 ","$5,100,000 ","$4,700,000 ","$4,550,000 ","$5,200,000 "
TOOTGAROOK,Tootgarook,"$370,000 ","$373,500 ","$390,000 ","$387,000 ","$402,500 ","$405,000 ","$460,000 ","$591,000 ","$600,500 ","$586,000 ","$675,000 "
TORQUAY,Torquay,"$533,000 ","$565,000 ","$565,000 ","$580,000 ","$580,000 ","$620,000 ","$665,000 ","$720,000 ","$807,500 ","$816,500 ","$870,000 "
TRAFALGAR,Trafalgar,"$248,500 ","$271,500 ","$285,000 ","$283,000 ","$311,000 ","$310,000 ","$312,500 ","$333,500 ","$375,000 ","$396,500 ","$435,000 "
TRARALGON,Traralgon,"$257,000 ","$270,000 ","$260,000 ","$269,000 ","$275,000 ","$273,000 ","$268,000 ","$288,500 ","$298,000 ","$326,500 ","$340,000 "
TRARALGON EAST,Traralgon East,"$388,000 ","$405,000 ","$402,500 ","$435,000 ","$440,000 ","$432,500 ","$445,000 ","$455,000 ","$425,000 ","$470,000 ","$501,500 "
TRAVANCORE,Travancore,"$673,000 ","$672,000 ","$810,000 ","$905,000 ","$848,000 ","$1,100,000 ","$1,305,000 ","$1,415,000 ","$1,475,000 ","$1,125,000 ","$1,617,500 "
TRENTHAM,Trentham,"$300,000 ","$287,000 ","$331,500 ","$407,500 ","$340,000 ","$422,500 ","$455,000 ","$475,000 ","$603,000 ","$614,000 ","$620,000 "
TRUGANINA,Truganina,"$345,000 ","$357,000 ","$341,500 ","$360,000 ","$390,000 ","$391,000 ","$430,000 ","$519,500 ","$574,000 ","$575,000 ","$580,000 "
TULLAMARINE,Tullamarine,"$440,000 ","$420,000 ","$393,500 ","$395,000 ","$412,000 ","$472,500 ","$530,000 ","$655,000 ","$665,500 ","$612,000 ","$628,000 "
TYABB,Tyabb,"$347,000 ","$350,500 ","$372,500 ","$370,500 ","$366,000 ","$395,000 ","$430,000 ","$510,500 ","$548,000 ","$586,500 ","$600,000 "
UPPER FERNTREE GULLY,Upper Ferntree Gully,"$427,500 ","$400,000 ","$410,000 ","$435,000 ","$500,000 ","$515,000 ","$582,000 ","$685,000 ","$700,000 ","$642,500 ","$735,000 "
UPWEY,Upwey,"$415,000 ","$415,000 ","$422,500 ","$425,000 ","$476,000 ","$515,000 ","$585,000 ","$680,000 ","$710,000 ","$702,500 ","$760,500 "
VENTNOR,Ventnor,"$380,000 ","$365,000 ","$363,500 ","$370,000 ","$377,500 ","$423,500 ","$420,000 ","$465,000 ","$490,000 ","$540,000 ","$619,500 "
VENUS BAY,Venus Bay,"$239,000 ","$265,500 ","$238,500 ","$242,500 ","$237,000 ","$236,000 ","$258,000 ","$262,500 ","$307,500 ","$330,000 ","$375,000 "
VERMONT,Vermont,"$610,000 ","$552,500 ","$571,000 ","$610,000 ","$725,000 ","$855,000 ","$900,000 ","$1,065,000 ","$980,000 ","$937,000 ","$1,000,000 "
VERMONT SOUTH,Vermont South,"$694,500 ","$674,000 ","$654,500 ","$722,500 ","$815,000 ","$1,000,000 ","$1,082,500 ","$1,200,500 ","$1,150,000 ","$1,165,000 ","$1,200,000 "
VIEWBANK,Viewbank,"$631,500 ","$604,500 ","$589,000 ","$630,000 ","$725,000 ","$829,500 ","$920,000 ","$1,000,000 ","$933,000 ","$920,000 ","$985,000 "
VIOLET TOWN,Violet Town,"$172,500 ","$170,000 ","$204,500 ","$215,000 ","$199,500 ","$200,000 ","$238,500 ","$217,000 ","$242,500 ","$287,500 ","$328,500 "
WAHGUNYAH,Wahgunyah,"$245,000 ","$190,000 ","$244,000 ","$190,000 ","$213,500 ","$267,000 ","$290,000 ","$270,000 ","$240,000 ","$355,000 ","$309,500 "
WALKERVILLE,Walkerville,"$235,000 ","$229,500 ","$280,000 ","$279,000 ","$230,000 ","$247,000 ","$283,500 ","$275,000 ","$266,500 ","$334,500 ","$350,000 "
WALLAN,Wallan,"$330,000 ","$350,000 ","$335,000 ","$341,500 ","$356,500 ","$362,000 ","$375,000 ","$425,000 ","$490,000 ","$480,000 ","$512,500 "
WALLAN EAST,Wallan East,"$292,500 ","$305,000 ","$317,000 ","$310,000 ","$306,000 ","$309,500 ","$352,500 ","$410,000 ","$489,000 ","$450,000 ","$480,000 "
WANDANA HEIGHTS,Wandana Heights,"$540,000 ","$592,500 ","$557,500 ","$540,000 ","$582,000 ","$590,000 ","$592,500 ","$645,000 ","$700,000 ","$766,500 ","$827,000 "
WANDIN NORTH,Wandin North,"$411,000 ","$380,500 ","$379,000 ","$407,500 ","$439,500 ","$480,000 ","$496,500 ","$665,000 ","$665,000 ","$630,000 ","$715,000 "
WANGARATTA,Wangaratta,"$241,000 ","$240,000 ","$240,000 ","$240,000 ","$255,000 ","$272,000 ","$270,500 ","$270,000 ","$320,000 ","$319,000 ","$350,000 "
WANTIRNA,Wantirna,"$545,000 ","$528,000 ","$515,000 ","$576,000 ","$667,500 ","$764,000 ","$801,000 ","$953,000 ","$915,000 ","$860,000 ","$910,500 "
WANTIRNA SOUTH,Wantirna South,"$575,000 ","$582,000 ","$542,500 ","$579,000 ","$676,500 ","$829,000 ","$875,000 ","$1,005,000 ","$1,000,000 ","$988,500 ","$1,014,000 "
WARBURTON,Warburton,"$300,000 ","$315,000 ","$300,000 ","$310,000 ","$315,000 ","$325,000 ","$366,000 ","$418,000 ","$495,000 ","$512,500 ","$543,000 "
WARNEET,Warneet,"$332,500 ","$295,000 ","$284,000 ","$337,000 ","$355,000 ","$395,000 ","$390,000 ","$485,000 ","$534,000 ","$512,500 ","$600,000 "
WARRACKNABEAL,Warracknabeal,"$88,000 ","$115,000 ","$105,000 ","$107,500 ","$110,000 ","$110,000 ","$123,500 ","$113,000 ","$112,500 ","$118,000 ","$140,000 "
WARRAGUL,Warragul,"$280,000 ","$295,000 ","$300,000 ","$315,000 ","$320,000 ","$342,000 ","$340,000 ","$364,000 ","$448,000 ","$460,000 ","$498,000 "
WARRANDYTE,Warrandyte,"$635,000 ","$657,000 ","$620,000 ","$640,000 ","$760,000 ","$829,000 ","$890,000 ","$1,042,500 ","$1,110,000 ","$994,000 ","$992,000 "
WARRANWOOD,Warranwood,"$633,500 ","$632,500 ","$654,000 ","$603,000 ","$665,000 ","$790,000 ","$865,000 ","$943,500 ","$1,010,000 ","$935,000 ","$963,500 "
WARRNAMBOOL,Warrnambool,"$320,000 ","$320,000 ","$316,500 ","$325,000 ","$323,000 ","$330,000 ","$320,000 ","$330,000 ","$350,000 ","$370,000 ","$415,000 "
WATERWAYS,Waterways,"$604,000 ","$688,000 ","$682,000 ","$667,000 ","$845,000 ","$902,000 ","$1,050,000 ","$1,127,500 ","$1,110,000 ","$1,270,000 ","$1,397,500 "
WATSONIA,Watsonia,"$505,000 ","$500,000 ","$462,000 ","$505,000 ","$555,000 ","$607,500 ","$698,000 ","$835,000 ","$795,000 ","$736,000 ","$790,000 "
WATSONIA NORTH,Watsonia North,"$529,000 ","$470,500 ","$462,000 ","$510,000 ","$572,500 ","$635,000 ","$702,500 ","$790,000 ","$770,000 ","$726,500 ","$795,000 "
WATTLE GLEN,Wattle Glen,"$490,000 ","$569,500 ","$527,000 ","$475,000 ","$500,500 ","$569,000 ","$580,000 ","$620,000 ","$810,000 ","$778,500 ","$810,000 "
WAURN PONDS,Waurn Ponds,"$435,000 ","$421,000 ","$452,500 ","$446,500 ","$470,000 ","$480,000 ","$501,000 ","$530,000 ","$621,500 ","$641,500 ","$671,000 "
